Brand,Name,Harga,Rating,Review
barenbliss,Bloomatte Stay Confident 2-in-1 Foundation,Rp132.905Rp139.900,4.7,(194)
Espoir,Nowear Lipstick Volume Matte,Rp284.050-Rp299.000,4.7,(18)
Mercredi,Mercredi - Luxe - MR531,Rp24.640Rp28.000,4.5,(9)
BLP Beauty,Face Powder 30 gr,Rp129.500-Rp259.000,4.7,(325)
Espoir,Espoir Mega Melting Bomb,Rp215.100-Rp239.000,4.5,(20)
barenbliss,Dream Chaser Quad Eyeshadow Palette,Rp104.405Rp109.900,4.7,(125)
Secondate,Brow Updo Browcara,Rp85.500-Rp90.250,4.6,(262)
Mother of Pearl,C.M.I.I.W Skin Corrector,Rp110.670Rp119.000,4.7,(37)
Rose All Day,Rosé All Day's The Powerpuff Girls Eyeshadow Palette,Rp78.320Rp89.000,4.7,(41)
Mercredi,Mercredi - Luxe - MR521,Rp24.640Rp28.000,4.4,(12)
BLP Beauty,Baby Blush Butter Fudge Collection,Rp91.080Rp99.000,4.4,(23)
BLP Beauty,Face Glow New,Rp115.000,4.8,(213)
Maybelline,Instant Age Rewinder Concealer,Rp155.900-Rp160.600,4.5,"(3,1k)"
Holika Holika,Mellow Layering Stick Shadow,Rp148.000,4.7,(38)
Espoir,THE BROW BALANCE PENCIL,Rp188.100-Rp209.000,4.7,(25)
ETUDE,Over Glowy Tint,Rp218.500Rp230.000,4.6,(5)
Wardah,Colorfit Cream Blush,Rp57.000,4.7,(158)
Maybelline,Fit Me Fresh Tint,Rp114.900,4.6,(879)
Holika Holika,Lash Correcting Mascara Hyper Curling,Rp162.000Rp180.000,4.8,(136)
YOU Beauty,YOU NEW FORMULA Rouge Power Matte Lip Cream,Rp83.700Rp93.000,4.6,(169)
YOU Beauty,YOU Cloud Touch Juicy Tint,Rp69.300Rp77.000,4.5,(246)
Clio,"Kill Cover High Glow Cushion SPF 50+, PA++++",Rp382.500Rp510.000,4.8,(45)
Blink Charm,Sweet Classic #3 - 1 Pair Bundling Lem 1Ml,Rp48.057Rp57.900,No Rating,No Review
BLP Beauty,Face Base,Rp99.500-Rp199.000,4.6,(899)
Holika Holika,Butter Blur Tint,Rp142.500-Rp150.000,4.5,(92)
Guele Cosmetics,BARE Skin Tint,Rp189.000,4.7,(36)
Rose All Day,Frosty Coat Lip Oil,Rp92.650Rp109.000,4.7,(31)
BLP Beauty,Cover Cushion,Rp99.500-Rp199.000,4.6,(972)
Amuse,DEW BALM,Rp239.200-Rp254.150,4.5,(31)
Holika Holika,Tail Lasting Sharp Pen Liner,Rp159.600Rp168.000,4.7,(78)
