Brand,Name,Rating,Review,Harga_Diskon,Harga_Asli
Make Over,Powerstay Total Cover Liquid Concealer,4.6,624,107100,119000
Holika Holika,Lash Correcting Mascara Define Volume,4.8,237,162000,180000
Glamfix,Perfect Blink Lashes Natural New,4.7,61,16625,17500
Jacquelle Beaute,Jacquelle Lip Gloss Serum,4.9,213,104250,108420
ETUDE,Dear Darling Water Gel Tint,4.8,12,96030,99000
Jacquelle Beaute,Jacquelle BlushHer Blush x Shani Amelia - Disney 100 Winnie The Pooh Edition,4.9,328,113520,129000
Espoir,Nowear Lipstick Balming Glow,4.7,26,299000,299000
Guele Cosmetics,Eyebrow Pencil,4.8,549,129000,129000
Rose All Day,Rosé All Day's The Powerpuff Girls Hyper-Length Mascara,4.9,45,113520,129000
Carasun,Carasun Solar Smart UV - Sun Cushion SPF 50+ PA++++ Refill,4.6,923,83850,124900
Amuse,Bebe Tint,4.7,109,269100,284050
Artisan Professionnel,Classiques,4.7,1100,28000,28000
BLP Beauty,Face Concealer,4.7,1000,145000,145000
Laneige,Neo Essential Blurring Powder,4.8,109,380000,400000
Ariul,Ink Feather Cover Lasting Cushion,4.7,95,230300,296100
ESQA,Dream Lash Serum Mascara,4.8,108,122550,129000
Rose All Day,Rosé All Day's The Powerpuff Girls Stain Tint,4.6,94,87120,99000
Rose All Day,Poof! Blurring Pot,4.6,25,89380,92650
Rose All Day,Brow Fix Eyebrow Pencil,4.7,567,87120,99000
Maybelline,Tattoo Brow 36H Pencil,4.8,389,129900,129900
Luxcrime,Luxcrime Perfecting Cover Cushion - Healthy Glow SPF 35 PA +++,4.7,137,125300,179000
Wardah,Eyexpert Matic Brow Definer,4.6,101,57000,57000
The Originote,High Cover Serum Cushion,4.7,132,105800,105800
BLP Beauty,BLP X Tuku Lip Vinyl,4.6,230,47500,95000
Make Over,Powerstay Micro Brow Sculptor,4.9,16,121500,135000
Dazzle Me,Better than Filter Double Kill Two Way Cake Powder,4.6,6,53910,59900
NPure,Power Primer,4.7,43,80100,89000
Maybelline,Lip Lifter Gloss,4.6,191,156900,156900
Studio Tropik,DreamSetter Satin Make-up Setting Spray,4.7,3,60906,180653
Sea Makeup,Acne 24th Longwear Foundation,4.7,376,89700,89700
Wardah,Optimum Hi-Black Liner,4.4,2400,76050,84500
Azarine,It's So Porefect! Powder Foundation,4.6,34,63960,82000
Clio,"NEW! Sharp, So Simple Waterproof Pencil Liner",4.6,11,120000,160000
Jung Saem Mool,Essential Skin Nuder Cushion,4.8,27,699000,699000
BLP Beauty,Lip Bullet,4.5,910,104250,139000
Luxcrime,Luxcrime Shine Addict Lip Vinyl,4.5,56,80100,89000
Focallure,BROWS GEL CREAM,4.7,333,35900,78000
Klavuu,BLUE PEARLSATION High Coverage Marine Collagen Aqua Cushion SPF50+ PA+++,4.7,195,364650,407550
Wardah,Moist Dew Tint,4.7,55,64000,64000
Maybelline,Fit Me Concealer,4.5,5400,139900,139900
Rollover Reaction,DEWDROP! Lip and Cheek Tint,4.6,757,99190,109000
Luxcrime,Radiant Silk Foundation SPF 50 PA+++,4.7,117,135150,159000
Luxcrime,Luxcrime Perfecting Cover Cushion - Velvet Matte SPF 50 PA +++,4.7,100,125300,179000
BLP Beauty,Lip Petals,4.5,108,134100,149000
Tavi,Gel to Oil Staining Lip Glide,4.6,20,99000,99000
Azarine,Sweet Treats Eyeshadow,4.7,181,62000,62000
BLP Beauty,Lip Vinyl,4.6,250,80750,95000
Guele Cosmetics,Guèle Lip Moss,4.7,125,129000,129000
Secondate,Secondate Gel Lip Gloss,4.7,48,84150,99000
Bbia,BBIA Last Auto Gel Eyeliner,4.6,17,81750,103550
Guele Cosmetics,BARE Concealer,4.8,127,149000,149000
BLP Beauty,Eyeshadow Pen,4.5,647,139000,139000
Luxcrime,Luxcrime Ultra Stay Eyeliner,4.7,48,98100,109000
BLP Beauty,Airy Tint,4.6,193,89000,89000
Wardah,Colorfit 5D Blur Cloud Cushion,4.9,34,159000,159000
Make Over,Powerstay 24H Weightless Liquid Foundation,4.8,46,175500,195000
Rose All Day,Rosé All Day's The Powerpuff Girls Lip Sparkle,4.8,44,78320,89000
Clio,Kill Lash Superproof Mascara,4.8,132,195000,260000
YOU Beauty,YOU Express On Point Eyeliner,4.6,100,47700,53000
Instaperfect,Skincover Air Cushion,4.8,62,170100,189000
Rose All Day,Brow Fix Gel,4.6,164,89380,92650
YOU Beauty,YOU NoutriWear+ Complete Cover Concealer,4.5,501,52200,58000
barenbliss,Bloomatte Stay Confident 2-in-1 Foundation,4.7,194,132905,139900
Espoir,Nowear Lipstick Volume Matte,4.7,18,284050,299000
Mercredi,Mercredi - Luxe - MR531,4.5,9,24640,28000
BLP Beauty,Face Powder 30 gr,4.7,325,129500,259000
Espoir,Espoir Mega Melting Bomb,4.5,20,215100,239000
barenbliss,Dream Chaser Quad Eyeshadow Palette,4.7,125,104405,109900
Secondate,Brow Updo Browcara,4.6,262,85500,90250
Mother of Pearl,C.M.I.I.W Skin Corrector,4.7,37,110670,119000
Rose All Day,Rosé All Day's The Powerpuff Girls Eyeshadow Palette,4.7,41,78320,89000
Mercredi,Mercredi - Luxe - MR521,4.4,12,24640,28000
BLP Beauty,Baby Blush Butter Fudge Collection,4.4,23,91080,99000
BLP Beauty,Face Glow New,4.8,213,115000,115000
Maybelline,Instant Age Rewinder Concealer,4.5,3100,155900,160600
Holika Holika,Mellow Layering Stick Shadow,4.7,38,148000,148000
Espoir,THE BROW BALANCE PENCIL,4.7,25,188100,209000
ETUDE,Over Glowy Tint,4.6,5,218500,230000
Wardah,Colorfit Cream Blush,4.7,158,57000,57000
